grid,stake,north,west,east
SU,S4,60.95685,138.0443,-138.0443
SU,S5,60.95667,138.04458,-138.04458
SU,S6,60.95639,138.04498,-138.04498
SU,S7,60.95624,138.04523,-138.04523
SU,S8,60.95598,138.04564,-138.04564
SU,S9,60.95579,138.04594,-138.04594
SU,S10,60.95561,138.04617,-138.04617
SU,S11,60.95534,138.04664,-138.04664
SU,S12,60.95517,138.04697,-138.04697
SU,S13,60.95491,138.0473,-138.0473
SU,S14,60.9547,138.04769,-138.04769
SU,S15,60.95447,138.04797,-138.04797
SU,S16,60.95425,138.04889,-138.04889
SU,S17,60.95402,138.04868,-138.04868
SU,S18,60.9538,138.04904,-138.04904
SU,S19,60.95359,138.04941,-138.04941
SU,S20,60.95342,138.04967,-138.04967
SU,T1,60.95764,138.04372,-138.04372
SU,T2,60.95741,138.04407,-138.04407
SU,T3,60.95722,138.0444,-138.0444
SU,T4,60.95702,138.04473,-138.04473
SU,T5,60.95678,138.04497,-138.04497
SU,T6,60.95661,138.04537,-138.04537
SU,T7,60.95636,138.04571,-138.04571
SU,T8,60.95613,138.0461,-138.0461
SU,T9,60.95592,138.04642,-138.04642
SU,T10,60.95573,138.04671,-138.04671
SU,T11,60.9555,138.04714,-138.04714
SU,T12,60.95535,138.04747,-138.04747
SU,T13,60.95503,138.0478,-138.0478
SU,T14,60.95485,138.04813,-138.04813
SU,T15,60.95465,138.0484,-138.0484
SU,T16,60.95443,138.04876,-138.04876
SU,T17,60.95421,138.04914,-138.04914
SU,T18,60.95403,138.04942,-138.04942
SU,T19,60.95377,138.0498,-138.0498
SU,T20,60.95359,138.05013,-138.05013
SU,U1,60.95773,138.04416,-138.04416
SU,U2,60.95759,138.04447,-138.04447
SU,U3,60.95743,138.04474,-138.04474
SU,U4,60.95718,138.04512,-138.04512
SU,U5,60.95704,138.04541,-138.04541
SU,U6,60.9568,138.04581,-138.04581
SU,U7,60.95664,138.04624,-138.04624
SU,U8,60.95637,138.04655,-138.04655
SU,U9,60.95616,138.04683,-138.04683
SU,U10,60.95588,138.04725,-138.04725
SU,U11,60.95575,138.04747,-138.04747
SU,U12,60.95551,138.04788,-138.04788
SU,U13,60.95528,138.04818,-138.04818
SU,U14,60.95505,138.04856,-138.04856
SU,U15,60.95483,138.04883,-138.04883
KL,-89,60.95914,138.03589,-138.03589
KL,-810,60.95934,138.03551,-138.03551
KL,-811,60.95959,138.03523,-138.03523
KL,-812,60.9598,138.03499,-138.03499
KL,-813,60.96,138.0347,-138.0347
KL,-73,60.95759,138.03764,-138.03764
KL,-74,60.95777,138.0373,-138.0373
KL,-75,60.9579,138.03698,-138.03698
KL,-76,60.9581,138.03666,-138.03666
KL,-77,60.95835,138.0363,-138.0363
KL,-78,60.9586,138.03595,-138.03595
KL,-79,60.9588,138.03561,-138.03561
KL,-710,60.95908,138.03536,-138.03536
KL,-711,60.95932,138.03491,-138.03491
KL,-712,60.95957,138.03454,-138.03454
